ID,a0,b0,c0,d0,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3,Average Daily Steps,No of active session,A_Mean,A_Median,A_Mode,No of sedentary session,S_Mean,S_Median,S_Mode
1479,2.3333333333333335,-54.786856879802826,87.18028531970424,-29.226761773234745,5.5,31.893428439901413,-0.5000000000000036,-29.226761773234745,7.666666666666666,-56.786856879802826,-88.18028531970424,147.8004755328404,10.5,210.2539990793099,355.22114127881696,-166.47514035812685,14831.666666666668,9,4426.000000000001,4466.666666666667,[1224.],6,2475.6666666666674,9.083333333333332,[2.33333333]
1500,2.6666666666666665,-40.1903581511241,64.41053722668615,-21.553512408895383,5.333333333333333,23.97017907556205,-0.24999999999999645,-21.553512408895386,7.5,-41.1903581511241,-64.91053722668616,108.76756204447693,10.166666666666666,155.29125352893436,261.3921489067446,-78.85006910234563,16111.0,13,4031.8846153846152,3999.0,[809.33333333],6,2688.944444444445,8.833333333333332,[2.66666667]
1844505072,1.6666666666666667,2.3436133803453596,-1.0570867371847064,0.3801400235060135,3.3333333333333335,1.3698599764939872,0.08333333333333415,0.38014002350601217,5.166666666666667,2.6769467136786917,1.2237534038513709,-1.2340334508633957,7.833333333333334,1.4223531687912465,-2.478346948738815,1.0559937799475685,5058.0,0,,,[],11,466.53030303030306,7.833333333333334,[7.83333333]
1927972279,0.8333333333333334,-0.9428685008416942,2.7059694179292078,-0.5964342504208471,2.0,2.67976758375418,0.916666666666667,-0.5964342504208471,5.0,2.7237981658249724,-0.8726360845958765,0.14883791877090413,7.0,1.425039752945932,-0.42612232828316254,-0.3322507579961025,2036.3333333333335,1,617.0,617.0,[617.],21,446.063492063492,652.1666666666666,[11.]
2026352035,3.1666666666666665,-1.5963045284228938,5.89445679263434,-1.9648189308781134,5.5,4.298152264211447,-1.3322676295501878e-15,-1.964818930878112,7.833333333333334,-1.5963045284228916,-5.8944567926343385,9.157427987723896,9.5,14.087065849480119,21.57782717053736,-34.831559686684145,8389.666666666668,1,3200.8333333333335,3200.8333333333335,[3200.83333333],8,1055.0208333333333,9.916666666666668,[3.16666667]
2320127002,1.8333333333333333,-8.149992803454325,14.974989205181487,-4.824996401727162,3.833333333333333,7.324996401727161,0.5,-4.824996401727161,6.833333333333333,-6.149992803454323,-13.974989205181483,22.45831534196914,9.166666666666666,33.27497481209013,53.39995682072597,-15.841598299482769,10252.333333333334,2,3036.916666666667,3036.916666666667,[2676.],7,1478.9285714285713,9.166666666666666,[1.83333333]
1443,2.8333333333333335,-58.313298583446695,91.46994787517004,-30.48998262505668,5.5,33.15664929172335,-3.552713678800501e-15,-30.48998262505668,8.166666666666666,-58.313298583446695,-91.46994787517008,153.1165797919501,11.5,218.09654504206344,367.8797915006802,-158.47633654274364,16882.666666666668,15,4135.9111111111115,4317.0,[439.],6,2818.0833333333335,9.833333333333332,[2.83333333]
1499,1.6666666666666667,-53.72795770997682,84.42526989829855,-28.030645521655075,4.333333333333333,31.030645521655078,0.3333333333333357,-28.03064552165508,7.666666666666666,-52.39462437664349,-83.7586032316319,139.1532276082754,10.666666666666666,197.54785198491888,333.7010795931942,-106.91559824477974,18832.33333333333,15,5307.055555555554,5861.166666666666,[435.],6,3142.416666666666,9.166666666666666,[1.66666667]
6775888955,1.1666666666666667,-6.664456128047345,12.246684192071017,-3.915561397357006,2.8333333333333335,6.082228064023672,0.49999999999999867,-3.9155613973570045,5.5,-4.664456128047344,-11.246684192071012,17.411140320118356,7.0,25.0755964481657,40.986736768284075,-66.06233321644977,3411.6666666666665,2,858.4166666666665,858.4166666666665,[542.16666667],18,873.7962962962962,1206.9999999999998,[1207.]
6117666160,2.0,-13.706891022759828,25.685336534139743,-8.811778844713247,5.166666666666666,11.228445511379913,-0.7500000000000018,-8.811778844713244,6.833333333333333,-16.706891022759823,-27.185336534139736,45.72556089023289,8.666666666666666,66.09911857965938,109.99134613655892,-41.75713138288495,11251.333333333336,4,3411.3333333333335,3289.8333333333335,[2640.33333333],6,1878.4722222222226,7.75,[2.]
8792009665,3.8333333333333335,3.1389053682153767,-0.1250247189897311,-0.013880649225645136,6.833333333333334,2.8472139825589786,-0.1666666666666683,-0.013880649225644248,9.5,2.472238701548709,-0.20830861434360282,-0.4305967538717721,11.333333333333334,0.7638312112461869,-1.500098875958919,0.7362676647127323,2870.0,0,,,[],17,336.9803921568627,20.666666666666668,[11.33333333]
3372868164,3.0,2.477959551127894,-1.0086059933585076,0.5306464422306139,5.0,2.0526868911027196,0.5833333333333344,0.5306464422306121,8.166666666666666,4.811292884461225,2.175272660025171,-3.31989887781973,11.833333333333332,-0.7978584289476225,-7.78442397343402,8.582282402381642,12616.0,5,2690.0666666666666,2749.1666666666665,[840.5],9,1419.833333333333,11.833333333333332,[11.83333333]
4020332650,3.8333333333333335,1.8344102367930812,0.33171797814371073,0.000538451729874545,6.0,2.499461548270126,0.33333333333333437,0.0005384517298736569,8.833333333333334,3.167743570126416,0.33494868852295934,-0.5026922586493754,11.833333333333334,2.329564171224209,-1.1731280874251646,0.17689724953428954,4175.666666666668,0,,,[],13,605.9102564102566,21.833333333333336,[13.16666667]
4057192912,2.6666666666666665,4.407430197691285,-1.9444786298702623,0.5370484321789766,5.666666666666666,2.1296182344876904,-0.33333333333333215,0.5370484321789757,8.0,3.0740968643579527,1.2778119632035954,-2.185242160894882,10.166666666666666,-0.9260056919195025,-5.277914519481051,6.203920211400554,5704.666666666666,1,722.3333333333333,722.3333333333333,[722.33333333],12,918.4583333333331,16.25,[10.16666667]
4319703577,2.8333333333333335,0.6293732805576617,3.5142734124968418,-1.143646693054503,5.833333333333334,4.226980026387836,0.08333333333333304,-1.143646693054503,9.0,0.9627066138909931,-3.347606745830176,3.718233465272517,10.333333333333334,5.422193518048192,7.807093649987375,-5.395953834702233,10482.0,6,2585.111111111111,2110.75,[501.],10,1063.4833333333331,21.166666666666668,[2.83333333]
6290855005,2.5,2.402325186538418,0.6048455535257071,-0.17383740673079107,5.333333333333334,3.090504073397459,0.08333333333333659,-0.1738374067307955,8.333333333333334,2.735658519871746,-0.4381788868590477,-0.6308129663460322,10.0,-0.03313815288444602,-2.330617785897144,2.36375593878159,12198.666666666668,9,3215.148148148148,3082.5,[595.66666667],11,2775.060606060606,10.0,[10.]
1498,3.1666666666666665,-102.47107087136804,156.4982729737187,-52.027202102350685,5.166666666666666,54.44386876901736,0.4166666666666785,-52.0272021023507,8.0,-100.80440420470138,-155.6649396403854,258.96934384508677,10.5,364.77374804978814,621.2430918948751,-330.6835066113299,15856.333333333332,10,4353.4333333333325,4087.4166666666665,[665.83333333],6,2646.7777777777774,9.25,[3.16666667]
1497,1.8333333333333333,-60.17593022633699,96.13889533950548,-32.29629844650183,5.5,35.212965113168494,-0.7499999999999929,-32.29629844650184,7.666666666666666,-63.175930226336995,-97.6388953395055,163.31482556584248,10.166666666666666,231.49075579217947,392.30558135802215,-127.62967048353494,14960.666666666666,9,3353.777777777778,2962.5,[506.33333333],6,2497.361111111111,8.916666666666666,[1.83333333]
1496,2.1666666666666665,-16.299670320506753,28.616172147426795,-9.48316849358671,5.0,12.48316849358671,0.16666666666666785,-9.483168493586712,8.166666666666666,-15.63300365384009,-28.282838814093463,46.74917580126689,11.0,68.04884612177365,111.9646885897073,59.98646528851907,17582.666666666668,15,5034.511111111112,5154.166666666667,[804.83333333],6,2934.305555555556,9.583333333333332,[2.16666667]
