ID,a0,b0,c0,d0,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3,Average Daily Steps,No of active session,A_Mean,A_Median,A_Mode,No of sedentary session,S_Mean,S_Median,S_Mode,Cluster
1266,1.0,-54.79525562810397,84.81788344215595,-28.18929448071865,2.833333333333333,30.27262781405199,0.24999999999999645,-28.18929448071865,5.166666666666666,-53.79525562810397,-84.31788344215595,140.6131390702599,7.666666666666666,199.4083946983639,337.52153376862367,-170.59659513365432,27545.0,14,6792.333333333332,4845.916666666666,179,6,4593.027777777777,6.416666666666666,1,0
1268,0.8333333333333334,-52.331684265607564,82.3308597317447,-27.499175466137125,3.333333333333333,29.83250879947045,-0.1666666666666643,-27.499175466137125,5.5,-52.99835093227425,-82.66419306507802,137.16254399735226,7.0,193.1608949296265,328.82343892697867,-150.6510005232719,25623.0,12,6308.694444444444,5200.416666666666,154,6,4272.722222222223,6.25,0,3
1285,2.6666666666666665,-59.631227792674046,93.7801750223444,-31.315613896337023,5.5,33.98228056300369,-0.1666666666666643,-31.315613896337034,8.0,-60.29789445934072,-94.11350835567774,156.41140281501845,10.0,220.70929727435916,375.1207000893776,-118.49666403040341,25497.0,15,6056.944444444443,5054.833333333334,33,6,4253.472222222223,9.0,11,3
1284,3.6666666666666665,-42.35000717049156,66.15001075573734,-21.80000358524578,5.666666666666666,24.55000358524578,0.75,-21.80000358524578,9.166666666666666,-39.35000717049156,-64.65001075573734,106.83335125956222,12.0,151.85002509672046,255.8500430229493,-36.36673478633646,25119.333333333336,14,6350.7380952380945,5507.166666666666,136,6,4191.083333333335,10.583333333333332,17,3
1283,2.6666666666666665,-47.27762049248515,73.74976407206104,-24.63881024624257,4.5,26.305476912909235,-0.1666666666666643,-24.638810246242574,6.0,-47.94428715915182,-74.08309740539437,123.86071789787952,7.833333333333332,175.47167172369805,297.4990562882444,-134.80406134527573,22179.666666666664,12,6120.291666666668,4900.25,213,6,3699.583333333334,6.916666666666666,11,3
1282,3.0,-83.54955769394219,128.7826698742466,-42.73311218030443,5.5,45.81644551363776,0.5833333333333215,-42.733112180304424,9.166666666666666,-81.21622436060885,-127.61600320757995,211.66556090152213,12.0,298.5484519287976,507.38067949698615,-266.0957980924504,23574.333333333336,10,5614.0666666666675,4942.0,61,6,3933.527777777778,10.583333333333332,13,3
1281,2.1666666666666665,-101.46175415713512,155.40096456903603,-51.60587707856757,4.5,54.52254374523422,0.5833333333333286,-51.60587707856756,8.0,-99.1284208238018,-154.2342979023694,255.86271872617118,10.5,359.9911395499729,613.3538582761439,-292.84499782611687,30671.333333333336,16,6556.78125,5101.0,91,6,5115.555555555556,9.25,8,0
1280,3.0,-71.02378421863294,111.32734299461607,-37.303558775983134,6.0,39.72022544264981,-0.5833333333333286,-37.30355877598314,7.833333333333332,-73.35711755196628,-112.49400966128277,187.68446054658241,9.666666666666666,264.7082447652153,450.55937197846436,-276.6009500770129,33302.0,13,7551.9743589743575,4978.833333333333,19,6,5554.3611111111095,8.75,13,0
1279,1.3333333333333333,-65.16048652794608,100.86572979191912,-33.538576597306374,3.5,35.95524326397304,0.25,-33.538576597306374,6.166666666666666,-64.16048652794608,-100.36572979191915,167.35954965319857,9.0,237.18670284781132,401.7129191676768,-228.7329553488213,32975.333333333336,15,6118.722222222222,4583.333333333334,2,6,5498.777777777778,7.583333333333332,3,0
1278,3.6666666666666665,-71.28122639706524,108.67183959559786,-35.89061319853262,5.166666666666666,38.39061319853262,1.0,-35.89061319853262,8.666666666666666,-67.28122639706524,-106.67183959559785,177.45306599266308,12.166666666666664,251.73429238972832,425.6873583823914,-214.0883174387864,26932.33333333333,12,6484.847222222222,5488.5,30,6,4493.166666666667,10.416666666666666,17,3
1277,3.8333333333333335,-65.16698533164465,102.2088113308003,-34.04182599915566,6.833333333333334,37.12515933248899,0.08333333333332149,-34.04182599915565,10.0,-64.83365199831131,-102.04214466413363,170.5424633291116,13.666666666666664,242.70944866075627,409.5852453232014,-145.628027317291,26238.0,11,6528.348484848484,6530.5,49,6,4378.333333333333,11.833333333333332,18,3
1276,2.1666666666666665,-103.74919258191403,159.9571222062044,-53.207929624290344,5.166666666666666,56.54126295762367,0.3333333333333215,-53.20792962429033,8.833333333333332,-102.41585924858069,-159.2904555395377,263.8729814547851,10.999999999999998,370.62217403669916,632.3284888248173,-293.4506628615165,33290.66666666667,14,6227.72619047619,4169.583333333334,101,6,5552.361111111112,9.916666666666664,8,0
1275,3.6666666666666665,-74.24337861860111,114.36506792790165,-38.121689309300564,5.666666666666666,40.121689309300564,0.0,-38.121689309300564,7.666666666666666,-74.24337861860111,-114.36506792790165,191.27511321316945,10.333333333333332,270.8518251651039,459.4602717116066,-242.81209687671048,32934.333333333336,17,6301.490196078432,4587.5,39,6,5493.194444444445,9.0,17,0
